📺港澳频道👉,#genre#
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线翡翠,http://php.jdshipin.com:8880/smt.php?id=jade_twn
无线华丽,http://php.jdshipin.com:8880/smt.php?id=Wlt
无线华丽,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
无线明珠,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
无线娱乐,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
千禧经典,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
RTHK-31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK-32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
Astr爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
AstrQJ,http://php.jdshipin.com:8880/smt.php?id=Quanjia
Astr欢喜台,http://php.jdshipin.com:8880/smt.php?id=Huahee

凤凰中文,https://live.tvfix.org/live/fhzw/1/v4000000/index.m3u8
凤凰资讯,https://live.tvfix.org/live/fwzx/1/v4000000/index.m3u8
凤凰香港,https://live.tvfix.org/live/fwxg/2/v4000000/index.m3u8
美亚电影台,https://live.tvfix.org/live/mydy/1/v4000000/index.m3u8
天映经典,https://live.tvfix.org/live/tyjd/1/v1000000/index.m3u8
无线新闻,https://live.tvfix.org/live/inews/3/v4000000/index.m3u8
娱乐新闻,https://live.tvfix.org/live/enews/1/v4000000/index.m3u8
天映经典,https://live.tvfix.org/live/tyjd/1/v1000000/index.m3u8
TVBS新闻,https://live.tvfix.org/live/tvbsnews/1/v4000000/index.m3u8


凤凰中文,https://live.tvfix.org/live/fhzw/index.m3u8
凤凰资讯,https://live.tvfix.org/live/fhzx/index.m3u8
凤凰香港,https://live.tvfix.org/live/fwxg/index.m3u8
翡翠台,https://live.tvfix.org/live/jade/index.m3u8
明珠台,https://live.tvfix.org/live/pearl/index.m3u8
美亚电影台,https://live.tvfix.org/live/mydy/index.m3u8
中国电影,https://live.tvfix.org/live/cmc/index.m3u8
天映经典,https://live.tvfix.org/live/tyjd/index.m3u8
娱乐新闻,https://live.tvfix.org/live/enews/index.m3u8
无线新闻,https://live.tvfix.org/live/inews/index.m3u8
创世频道,https://live.tvfix.org/live/chuangshi/index.m3u8
TVBS亚洲台,https://live.tvfix.org/live/tvbs/index.m3u8
TVB Plus,https://live.tvfix.org/live/tvbplus/index.m3u8
创世电视,https://live.tvfix.org/live/chuangshi/index.m3u8
CCTV1综合,https://live.tvfix.org/live/cctv1hd/index.m3u8
东方卫视,https://live.tvfix.org/live/dfhd/index.m3u8
CGTN,https://live.tvfix.org/live/cgtnhd/index.m3u8
CGTN纪录,https://live.tvfix.org/live/cgtndochd/index.m3u8

凤凰中文,http://ali.hlspull.yximgs.com/live/qwt_fhzw.flv
凤凰资讯,http://ali.hlspull.yximgs.com/live/qwt_fhzx.flv
凤凰香港,http://ali.hlspull.yximgs.com/live/qwt_fhhk.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
翡翠台,http://ali.hlspull.yximgs.com/live/qwt_feicui.flv
星光电影台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv



凤凰中文,http://php.jdshipin.com/PLTV/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/PLTV/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
TVB J2,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
TVBJade,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB星河台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
东莞新闻综合,http://php.jdshipin.com:8880/0769.php?id=xwzh
